County,num_accidents
Habersham,268
Broadwater,268
Kennebec,266
Hill,265
Deer Lodge,264
Hickman,260
Braxton,260
Jefferson Davis,256
Bladen,256
Shawnee,253
Buckingham,253
Pacific,253
Stevens,252
Preston,252
Charlottesville,252
Edgecombe,251
Gilmer,249
Mitchell,248
Bonneville,248
Gregg,246
Beaverhead,243
Ionia,242
Elbert,241
Teller,239
Manassas,239
Crenshaw,239
Schoharie,237
Stokes,237
Fergus,237
Cache,235
McDuffie,234
Worth,231
Bastrop,230
Waynesboro,230
Iroquois,229
Oldham,228
Appomattox,228
Cattaraugus,228
Imperial,228
Koochiching,228
Barnes,226
Calvert,223
Wyoming,223
Lenoir,221
Paulding,220
Okeechobee,220
Wise,220
Transylvania,219
Humphreys,217
Etowah,215
Gunnison,215
Saint Louis,214
Maury,214
Berkshire,213
Northeastern Connecticut,213
Lander,213
Juneau,212
Wagoner,211
Bingham,211
Kendall,209
Conecuh,209
Otsego,208
Highland,208
Pottawatomie,208
Treutlen,204
Pershing,204
Tuscarawas,204
Heard,203
Roseau,203
Lenawee,202
Storey,202
Cameron,200
Guernsey,198
Desoto,198
Skamania,198
Glacier,198
Gibson,197
Santa Fe,197
Cassia,197
Hempstead,196
La Crosse,196
Ogle,195
Rock Island,195
Ashtabula,195
Greenbrier,195
Scotland,195
Mills,194
Waupaca,194
Grand Forks,194
Lapeer,193
Laclede,193
Prowers,192
Glades,191
Alexander,191
Cooper,190
Tompkins,190
Shoshone,188
Osage,188
Payette,188
Covington,187
Rogers,187
Phelps,187
Kit Carson,184
Ashland,183
Grayson,182
Creek,182
Swift,182
Poinsett,181
Ross,178
Roanoke (City),178
Seward,178
Burleigh,178
Callaway,177
Hoke,174
Noble,170
Chittenden,170
Yakima,168
Turner,168
Wapello,167
Auglaize,167
Vermilion,165
Richmond County,165
Christian,162
Hart,162
McClain,162
Pitkin,161
McKenzie,160
Anson,158
Dubuque,157
La Salle,155
Stanly,155
Cerro Gordo,154
Cheyenne,154
Routt,154
Clearwater,153
Treasure,153
Luna,152
Bertie,152
Doña Ana,151
Ward,151
Whitley,150
Mchenry,149
Stutsman,149
Daviess,148
